"time","benchmark"
"verify_groth16",50332180
"verify_groth16_optimized",12981391
"pairing_bls12_381",15070389
"pairing_bls12_381_optimized",2669265
"msm_g1_bls12_381",3839659
"msm_g1_bls12_381_optimized",956544
"msm_g2_bls12_381",9314605
"msm_g2_bls12_381_optimized",2817158
"mul_projective_g1_bls12_381",19020
"mul_projective_g1_bls12_381_optimized",536519
"mul_affine_g1_bls12_381",22049
"mul_affine_g1_bls12_381_optimized",531503
"mul_projective_g2_bls12_381",36958
"mul_projective_g2_bls12_381_optimized",1533517
"mul_affine_g2_bls12_381",33183
"mul_affine_g2_bls12_381_optimized",1607705
"pairing_bls12_377",12880103
"pairing_bls12_377_optimized",3447466
"msm_g1_bls12_377",3689822
"msm_g1_bls12_377_optimized",1239208
"msm_g2_bls12_377",730544
"msm_g2_bls12_377_optimized",3654717
"mul_projective_g1_bls12_377",20147
"mul_projective_g1_bls12_377_optimized",809249
"mul_affine_g1_bls12_377",20191
"mul_affine_g1_bls12_377_optimized",888276
"mul_projective_g2_bls12_377",33142
"mul_projective_g2_bls12_377_optimized",2166545
"mul_affine_g2_bls12_377",31810
"mul_affine_g2_bls12_377_optimized",2166832
"pairing_bw6_761",64523278
"pairing_bw6_761_optimized",8436288
"msm_g1_bw6_761",928617
"msm_g1_bw6_761_optimized",3636385
"msm_g2_bw6_761",1048847
"msm_g2_bw6_761_optimized",3317825
"mul_projective_g1_bw6_761_optimized",3208975
"mul_projective_g1_bw6_761",41431
"mul_affine_g1_bw6_761",41542
"mul_affine_g1_bw6_761_optimized",8061284
"mul_projective_g2_bw6_761",74678
"mul_projective_g2_bw6_761_optimized",3527971
"mul_affine_g2_bw6_761",45034
"mul_affine_g2_bw6_761_optimized",3752780
"msm_ed_on_bls12_381",2025660
"msm_ed_on_bls12_381_optimized",467656
"mul_projective_ed_on_bls12_381",26024
"mul_projective_ed_on_bls12_381_optimized",401605
"mul_affine_ed_on_bls12_381",22599
"mul_affine_ed_on_bls12_381_optimized",241577
"msm_ed_on_bls12_377",5553192
"msm_ed_on_bls12_377_optimized",1014382
"mul_projective_ed_on_bls12_377",24343
"mul_projective_ed_on_bls12_377_optimized",312673
"mul_affine_ed_on_bls12_377",41145
"mul_affine_ed_on_bls12_377_optimized",316661
